ANNEE,nb,prix,prixm2
2014,2243,132441.470352207,2410.97949175212
2015,2678,137496.402165795,2438.03659447349
2016,2888,139455.603185596,2484.19494459834
2017,1812,147444.918874172,2613.40728476821
2018,3399,152645.733451015,2706.24036481318
2019,3347,167876.450552734,2914.87720346579
2020,2980,189690.280536913,3328.16308724832
2021,3389,208759.219238713,3652.5984066096
